country,country_code,region,income,year,gdp_growth,inflation,life_expectancy,poverty
Afghanistan,AFG,Middle East & North Africa,Low income,2022,-6.24017199240269,13.7121023720065,65.617,
Albania,ALB,Europe & Central Asia,Upper middle income,2022,4.8268006234359,6.7252027153006,78.769,
Algeria,DZA,Middle East & North Africa,Upper middle income,2022,3.60000000094915,9.26551551551553,76.129,
American Samoa,ASM,East Asia & Pacific,High income,2022,1.73501577287065,,72.752,
Andorra,AND,Europe & Central Asia,High income,2022,9.56461225648184,,84.016,
Angola,AGO,Sub-Saharan Africa,Lower middle income,2022,4.21600258475137,21.3552901320822,64.246,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2022,9.10780623385958,7.53107834634288,77.483,
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,6.02074537534855,72.430757531824,75.806,0.4
Armenia,ARM,Europe & Central Asia,Upper middle income,2022,12.5999999997766,8.64091108973855,74.7658536585366,0.3
Aruba,ABW,Latin America & Caribbean,High income,2022,10.6364309604414,,76.226,
Australia,AUS,East Asia & Pacific,High income,2022,4.25304559238732,6.59409671341846,83.2,
Austria,AUT,Europe & Central Asia,High income,2022,5.33096379400371,8.5468699318845,81.2951219512195,0.3
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2022,4.71468033247649,13.8522590144267,74.125,
"Bahamas, The",BHS,Latin America & Caribbean,High income,2022,10.8779009410268,5.60540633583044,74.491,
Bahrain,BHR,Middle East & North Africa,High income,2022,6.18016125475185,3.62574104304482,80.992,
Bangladesh,BGD,South Asia,Lower middle income,2022,7.09982877575158,7.69695437176898,74.265,1.0
Barbados,BRB,Latin America & Caribbean,High income,2022,17.2264626793379,,75.676,
Belarus,BLR,Europe & Central Asia,Upper middle income,2022,-4.65839591328999,15.209675274081,74.1033658536585,
Belgium,BEL,Europe & Central Asia,High income,2022,3.9562379757933,9.597511728725,81.7487804878049,0.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,2022,9.25051329530994,6.27689319447544,72.19,
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,6.25294705373625,1.35077863583527,60.475,
Bermuda,BMU,North America,High income,2022,6.47622571186707,,82.062,
Bhutan,BTN,South Asia,Lower middle income,2022,5.21386783786224,5.6391667139637,72.754,0.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,3.74741781241461,1.74632872945969,67.434,1.2
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2022,4.22681333390325,14.0208440826771,76.777,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2022,5.48601706446772,11.665567478802,68.749,
Brazil,BRA,Latin America & Caribbean,Upper middle income,2022,3.01669435408112,9.28010608956873,74.872,1.8
British Virgin Islands,VGB,Latin America & Caribbean,High income,2022,,,77.177,
Brunei Darussalam,BRN,East Asia & Pacific,High income,2022,-1.62833154515108,3.68225030604216,72.917,
Bulgaria,BGR,Europe & Central Asia,High income,2022,4.0838640915123,15.3252589264366,74.1609756097561,0.4
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1.62673258211919,14.2902354303358,60.7,
Burundi,BDI,Sub-Saharan Africa,Low income,2022,2.31770122223331,18.8008786664945,62.882,
Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,2022,15.843675684642,7.93092925430087,75.907,
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,5.12990110773977,5.34370264895437,70.528,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2022,3.7367840056412,6.24767713343861,62.443,
Canada,CAN,North America,High income,2022,4.18903628100851,6.80280115341613,81.2453658536585,
Cayman Islands,CYM,Latin America & Caribbean,High income,2022,5.77566708028824,,79.984,
Central African Republic,CAF,Sub-Saharan Africa,Low income,2022,0.453901876447787,5.58316735183247,18.818,
Chad,TCD,Sub-Saharan Africa,Low income,2022,4.12969897676332,5.78802687843616,54.528,12.7
Channel Islands,CHI,Europe & Central Asia,High income,2022,5.34196140375869,,81.0,
Chile,CHL,Latin America & Caribbean,High income,2022,2.15399356192458,11.643866711056,79.176,0.3
China,CHN,East Asia & Pacific,Upper middle income,2022,3.1341888719577,1.97357555739051,78.202,0.0
Colombia,COL,Latin America & Caribbean,Upper middle income,2022,7.32827729427979,10.1772313546166,76.508,3.6
Comoros,COM,Sub-Saharan Africa,Lower middle income,2022,2.60301031927843,12.5320314570999,66.481,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2022,9.31116944064918,,60.979,
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2022,1.47535613247133,3.04344334698478,65.0,
Costa Rica,CRI,Latin America & Caribbean,High income,2022,4.55149177958398,8.27477490232654,79.316,0.5
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2022,6.39988362720531,5.23352856100843,61.562,
Croatia,HRV,Europe & Central Asia,High income,2022,7.29445343642668,10.7805806758686,77.5756097560976,0.2
Cuba,CUB,Latin America & Caribbean,Upper middle income,2022,1.77465227724316,,77.629,
Curacao,CUW,Latin America & Caribbean,High income,2022,6.90599999999999,,76.729,
Cyprus,CYP,Europe & Central Asia,High income,2022,8.27372597293814,8.39548297993334,80.434,0.0
Czechia,CZE,Europe & Central Asia,High income,2022,2.8471706583814,15.1001651468371,78.9292682926829,0.0
Denmark,DNK,Europe & Central Asia,High income,2022,0.443832614908331,7.6965669988926,81.3048780487805,0.2
Djibouti,DJI,Middle East & North Africa,Lower middle income,2022,5.16653702854374,5.17980847967061,65.54,
Dominica,DMA,Latin America & Caribbean,Upper middle income,2022,10.3968076616121,2.88490226829353,71.081,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2022,5.23795652902595,8.81109209279587,74.211,0.2
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2022,5.86842354862311,3.46616972213077,76.577,1.4
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2022,6.58784560886967,13.8956609775178,71.01,
El Salvador,SLV,Latin America & Caribbean,Upper middle income,2022,2.95461516549889,7.19861615609867,71.969,2.0
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2022,3.22350831658598,4.78671704710803,63.355,1.8
Eritrea,ERI,Sub-Saharan Africa,Low income,2022,,,67.789,
Estonia,EST,Europe & Central Asia,High income,2022,-1.22616966587796,19.3982634080616,77.8439024390244,0.3
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2022,0.386070835562705,,63.028,
Ethiopia,ETH,Sub-Saharan Africa,,2022,5.32175988403378,33.8898797100898,66.897,
